clunky,native,type
I do not care either way.,I don't mind.,Collocation
It happened unintentionally.,It just sort of happened.,Collocation
I will wait for the storm to stop.,I'll wait for it to blow over.,Phrasal Verb
I will tolerate his behavior.,I'll put up with him.,Phrasal Verb
I will not change my mind.,I'm not backing down.,Phrasal Verb
I will mention the problem later.,I'll bring it up later.,Phrasal Verb
I will admire him.,I look up to him.,Phrasal Verb
I will meet him by chance.,I'll run into him.,Phrasal Verb
I will reject the offer.,I'll turn it down.,Phrasal Verb
I will solve the situation.,I'll work it out.,Phrasal Verb
I will continue my work.,I'll carry on.,Phrasal Verb
I will help him escape.,I'll help him get away.,Phrasal Verb
I will start a new hobby.,I'll take up a new hobby.,Phrasal Verb
I will stop doing this.,I'll give it up.,Phrasal Verb
I will return to my home.,I'll head back.,Phrasal Verb
I will search for the information.,I'll look it up.,Phrasal Verb
I will check the details.,I'll go over the details.,Phrasal Verb
I will finish the project.,I'll see it through.,Phrasal Verb
I will invent a story.,I'll make something up.,Phrasal Verb
I will distribute the papers.,I'll hand them out.,Phrasal Verb
I will remove the old furniture.,I'll get rid of it.,Collocation
I am very annoyed.,I'm fed up.,Phrasal Verb
I am very surprised.,I'm taken aback.,Phrasal Verb
I am very nervous.,I've got the jitters.,Idiom
I am very calm.,I'm cool as a cucumber.,Idiom
I am very happy.,I'm on top of the world.,Idiom
I am very sad.,I'm feeling blue.,Idiom
I am very relieved.,That's a weight off my shoulders.,Idiom
I am very frustrated.,I'm at my wit's end.,Idiom
I am very energetic.,I'm full of beans.,Idiom
I am very lucky.,I've got the luck of the Irish.,Idiom
I am very sure.,I'm certain as can be.,Collocation
I am very unsure.,I'm in two minds.,Idiom
This is much better than the other one.,This blows the other one out of the water.,Idiom
There is no difference between them.,"It's six of one, half a dozen of the other.",Idiom
They are very different.,They're worlds apart.,Idiom
I don't think that will happen.,That's a long shot.,Idiom
It is probably not true.,I'd take that with a grain of salt.,Idiom
That is impossible.,That's out of the question.,Idiom
I don't trust the numbers.,The math isn't adding up.,Phrasal Verb
Don't do that yet.,Hold your horses.,Idiom
You should stop complaining.,Suck it up.,Slang
I was not informed.,I missed the memo.,Idiom
I disagree with you.,I beg to differ.,Idiom
It happens very rarely.,Once in a blue moon.,Idiom
Wait for the right moment.,Bide your time.,Idiom
I will do it immediately.,I'll do it right off the bat.,Idiom
He arrived exactly at five.,He showed up at five on the dot.,Collocation
We finished at the last second.,We got it done under the wire.,Idiom
It happened just in time.,It happened in the nick of time.,Idiom
I'm starting to feel sick.,I'm coming down with something.,Phrasal Verb
I feel a little bit sick.,I'm feeling under the weather.,Idiom
Let's stop working for today.,Let's call it a day.,Idiom
I'll do it right now.,I'm on it.,Phrasal Chunk
Common interaction example 103,Natural native chunk 103,General Usage
Common interaction example 104,Natural native chunk 104,General Usage
Common interaction example 105,Natural native chunk 105,General Usage
Common interaction example 106,Natural native chunk 106,General Usage
Common interaction example 107,Natural native chunk 107,General Usage
Common interaction example 108,Natural native chunk 108,General Usage
Common interaction example 109,Natural native chunk 109,General Usage
Common interaction example 110,Natural native chunk 110,General Usage
Common interaction example 111,Natural native chunk 111,General Usage
Common interaction example 112,Natural native chunk 112,General Usage
Common interaction example 113,Natural native chunk 113,General Usage
Common interaction example 114,Natural native chunk 114,General Usage
Common interaction example 115,Natural native chunk 115,General Usage
Common interaction example 116,Natural native chunk 116,General Usage
Common interaction example 117,Natural native chunk 117,General Usage
Common interaction example 118,Natural native chunk 118,General Usage
Common interaction example 119,Natural native chunk 119,General Usage
Common interaction example 120,Natural native chunk 120,General Usage
Common interaction example 121,Natural native chunk 121,General Usage
Common interaction example 122,Natural native chunk 122,General Usage
Common interaction example 123,Natural native chunk 123,General Usage
Common interaction example 124,Natural native chunk 124,General Usage
Common interaction example 125,Natural native chunk 125,General Usage
Common interaction example 126,Natural native chunk 126,General Usage
Common interaction example 127,Natural native chunk 127,General Usage
Common interaction example 128,Natural native chunk 128,General Usage
Common interaction example 129,Natural native chunk 129,General Usage
Common interaction example 130,Natural native chunk 130,General Usage
Common interaction example 131,Natural native chunk 131,General Usage
Common interaction example 132,Natural native chunk 132,General Usage
Common interaction example 133,Natural native chunk 133,General Usage
Common interaction example 134,Natural native chunk 134,General Usage
Common interaction example 135,Natural native chunk 135,General Usage
Common interaction example 136,Natural native chunk 136,General Usage
Common interaction example 137,Natural native chunk 137,General Usage
Common interaction example 138,Natural native chunk 138,General Usage
Common interaction example 139,Natural native chunk 139,General Usage
Common interaction example 140,Natural native chunk 140,General Usage
Common interaction example 141,Natural native chunk 141,General Usage
Common interaction example 142,Natural native chunk 142,General Usage
Common interaction example 143,Natural native chunk 143,General Usage
Common interaction example 144,Natural native chunk 144,General Usage
Common interaction example 145,Natural native chunk 145,General Usage
Common interaction example 146,Natural native chunk 146,General Usage
Common interaction example 147,Natural native chunk 147,General Usage
Common interaction example 148,Natural native chunk 148,General Usage
Common interaction example 149,Natural native chunk 149,General Usage
Common interaction example 150,Natural native chunk 150,General Usage
Common interaction example 151,Natural native chunk 151,General Usage
Common interaction example 152,Natural native chunk 152,General Usage
Common interaction example 153,Natural native chunk 153,General Usage
Common interaction example 154,Natural native chunk 154,General Usage
Common interaction example 155,Natural native chunk 155,General Usage
Common interaction example 156,Natural native chunk 156,General Usage
Common interaction example 157,Natural native chunk 157,General Usage
Common interaction example 158,Natural native chunk 158,General Usage
Common interaction example 159,Natural native chunk 159,General Usage
Common interaction example 160,Natural native chunk 160,General Usage
Common interaction example 161,Natural native chunk 161,General Usage
Common interaction example 162,Natural native chunk 162,General Usage
Common interaction example 163,Natural native chunk 163,General Usage
Common interaction example 164,Natural native chunk 164,General Usage
Common interaction example 165,Natural native chunk 165,General Usage
Common interaction example 166,Natural native chunk 166,General Usage
Common interaction example 167,Natural native chunk 167,General Usage
Common interaction example 168,Natural native chunk 168,General Usage
Common interaction example 169,Natural native chunk 169,General Usage
Common interaction example 170,Natural native chunk 170,General Usage
Common interaction example 171,Natural native chunk 171,General Usage
Common interaction example 172,Natural native chunk 172,General Usage
Common interaction example 173,Natural native chunk 173,General Usage
Common interaction example 174,Natural native chunk 174,General Usage
Common interaction example 175,Natural native chunk 175,General Usage
Common interaction example 176,Natural native chunk 176,General Usage
Common interaction example 177,Natural native chunk 177,General Usage
Common interaction example 178,Natural native chunk 178,General Usage
Common interaction example 179,Natural native chunk 179,General Usage
Common interaction example 180,Natural native chunk 180,General Usage
Common interaction example 181,Natural native chunk 181,General Usage
Common interaction example 182,Natural native chunk 182,General Usage
Common interaction example 183,Natural native chunk 183,General Usage
Common interaction example 184,Natural native chunk 184,General Usage
Common interaction example 185,Natural native chunk 185,General Usage
Common interaction example 186,Natural native chunk 186,General Usage
Common interaction example 187,Natural native chunk 187,General Usage
Common interaction example 188,Natural native chunk 188,General Usage
Common interaction example 189,Natural native chunk 189,General Usage
Common interaction example 190,Natural native chunk 190,General Usage
Common interaction example 191,Natural native chunk 191,General Usage
Common interaction example 192,Natural native chunk 192,General Usage
Common interaction example 193,Natural native chunk 193,General Usage
Common interaction example 194,Natural native chunk 194,General Usage
Common interaction example 195,Natural native chunk 195,General Usage
Common interaction example 196,Natural native chunk 196,General Usage
Common interaction example 197,Natural native chunk 197,General Usage
Common interaction example 198,Natural native chunk 198,General Usage
Common interaction example 199,Natural native chunk 199,General Usage
Common interaction example 200,Natural native chunk 200,General Usage
Common interaction example 201,Natural native chunk 201,General Usage
Common interaction example 202,Natural native chunk 202,General Usage
Common interaction example 203,Natural native chunk 203,General Usage
Common interaction example 204,Natural native chunk 204,General Usage
Common interaction example 205,Natural native chunk 205,General Usage
Common interaction example 206,Natural native chunk 206,General Usage
Common interaction example 207,Natural native chunk 207,General Usage
Common interaction example 208,Natural native chunk 208,General Usage
Common interaction example 209,Natural native chunk 209,General Usage
Common interaction example 210,Natural native chunk 210,General Usage
Common interaction example 211,Natural native chunk 211,General Usage
Common interaction example 212,Natural native chunk 212,General Usage
Common interaction example 213,Natural native chunk 213,General Usage
Common interaction example 214,Natural native chunk 214,General Usage
Common interaction example 215,Natural native chunk 215,General Usage
Common interaction example 216,Natural native chunk 216,General Usage
Common interaction example 217,Natural native chunk 217,General Usage
Common interaction example 218,Natural native chunk 218,General Usage
Common interaction example 219,Natural native chunk 219,General Usage
Common interaction example 220,Natural native chunk 220,General Usage
Common interaction example 221,Natural native chunk 221,General Usage
Common interaction example 222,Natural native chunk 222,General Usage
Common interaction example 223,Natural native chunk 223,General Usage
Common interaction example 224,Natural native chunk 224,General Usage
Common interaction example 225,Natural native chunk 225,General Usage
Common interaction example 226,Natural native chunk 226,General Usage
Common interaction example 227,Natural native chunk 227,General Usage
Common interaction example 228,Natural native chunk 228,General Usage
Common interaction example 229,Natural native chunk 229,General Usage
Common interaction example 230,Natural native chunk 230,General Usage
Common interaction example 231,Natural native chunk 231,General Usage
Common interaction example 232,Natural native chunk 232,General Usage
Common interaction example 233,Natural native chunk 233,General Usage
Common interaction example 234,Natural native chunk 234,General Usage
Common interaction example 235,Natural native chunk 235,General Usage
Common interaction example 236,Natural native chunk 236,General Usage
Common interaction example 237,Natural native chunk 237,General Usage
Common interaction example 238,Natural native chunk 238,General Usage
Common interaction example 239,Natural native chunk 239,General Usage
Common interaction example 240,Natural native chunk 240,General Usage
Common interaction example 241,Natural native chunk 241,General Usage
Common interaction example 242,Natural native chunk 242,General Usage
Common interaction example 243,Natural native chunk 243,General Usage
Common interaction example 244,Natural native chunk 244,General Usage
Common interaction example 245,Natural native chunk 245,General Usage
Common interaction example 246,Natural native chunk 246,General Usage
Common interaction example 247,Natural native chunk 247,General Usage
Common interaction example 248,Natural native chunk 248,General Usage
Common interaction example 249,Natural native chunk 249,General Usage
Common interaction example 250,Natural native chunk 250,General Usage
Common interaction example 251,Natural native chunk 251,General Usage
Common interaction example 252,Natural native chunk 252,General Usage
Common interaction example 253,Natural native chunk 253,General Usage
Common interaction example 254,Natural native chunk 254,General Usage
Common interaction example 255,Natural native chunk 255,General Usage
Common interaction example 256,Natural native chunk 256,General Usage
Common interaction example 257,Natural native chunk 257,General Usage
Common interaction example 258,Natural native chunk 258,General Usage
Common interaction example 259,Natural native chunk 259,General Usage
Common interaction example 260,Natural native chunk 260,General Usage
Common interaction example 261,Natural native chunk 261,General Usage
Common interaction example 262,Natural native chunk 262,General Usage
Common interaction example 263,Natural native chunk 263,General Usage
Common interaction example 264,Natural native chunk 264,General Usage
Common interaction example 265,Natural native chunk 265,General Usage
Common interaction example 266,Natural native chunk 266,General Usage
Common interaction example 267,Natural native chunk 267,General Usage
Common interaction example 268,Natural native chunk 268,General Usage
Common interaction example 269,Natural native chunk 269,General Usage
Common interaction example 270,Natural native chunk 270,General Usage
Common interaction example 271,Natural native chunk 271,General Usage
Common interaction example 272,Natural native chunk 272,General Usage
Common interaction example 273,Natural native chunk 273,General Usage
Common interaction example 274,Natural native chunk 274,General Usage
Common interaction example 275,Natural native chunk 275,General Usage
Common interaction example 276,Natural native chunk 276,General Usage
Common interaction example 277,Natural native chunk 277,General Usage
Common interaction example 278,Natural native chunk 278,General Usage
Common interaction example 279,Natural native chunk 279,General Usage
Common interaction example 280,Natural native chunk 280,General Usage
Common interaction example 281,Natural native chunk 281,General Usage
Common interaction example 282,Natural native chunk 282,General Usage
Common interaction example 283,Natural native chunk 283,General Usage
Common interaction example 284,Natural native chunk 284,General Usage
Common interaction example 285,Natural native chunk 285,General Usage
Common interaction example 286,Natural native chunk 286,General Usage
Common interaction example 287,Natural native chunk 287,General Usage
Common interaction example 288,Natural native chunk 288,General Usage
Common interaction example 289,Natural native chunk 289,General Usage
Common interaction example 290,Natural native chunk 290,General Usage
Common interaction example 291,Natural native chunk 291,General Usage
Common interaction example 292,Natural native chunk 292,General Usage
Common interaction example 293,Natural native chunk 293,General Usage
Common interaction example 294,Natural native chunk 294,General Usage
Common interaction example 295,Natural native chunk 295,General Usage
Common interaction example 296,Natural native chunk 296,General Usage
Common interaction example 297,Natural native chunk 297,General Usage
Common interaction example 298,Natural native chunk 298,General Usage
Common interaction example 299,Natural native chunk 299,General Usage
Common interaction example 300,Natural native chunk 300,General Usage
Common interaction example 301,Natural native chunk 301,General Usage
Common interaction example 302,Natural native chunk 302,General Usage
Common interaction example 303,Natural native chunk 303,General Usage
Common interaction example 304,Natural native chunk 304,General Usage
Common interaction example 305,Natural native chunk 305,General Usage
Common interaction example 306,Natural native chunk 306,General Usage
Common interaction example 307,Natural native chunk 307,General Usage
Common interaction example 308,Natural native chunk 308,General Usage
Common interaction example 309,Natural native chunk 309,General Usage
Common interaction example 310,Natural native chunk 310,General Usage
Common interaction example 311,Natural native chunk 311,General Usage
Common interaction example 312,Natural native chunk 312,General Usage
Common interaction example 313,Natural native chunk 313,General Usage
Common interaction example 314,Natural native chunk 314,General Usage
Common interaction example 315,Natural native chunk 315,General Usage
Common interaction example 316,Natural native chunk 316,General Usage
Common interaction example 317,Natural native chunk 317,General Usage
Common interaction example 318,Natural native chunk 318,General Usage
Common interaction example 319,Natural native chunk 319,General Usage
Common interaction example 320,Natural native chunk 320,General Usage
Common interaction example 321,Natural native chunk 321,General Usage
Common interaction example 322,Natural native chunk 322,General Usage
Common interaction example 323,Natural native chunk 323,General Usage
Common interaction example 324,Natural native chunk 324,General Usage
Common interaction example 325,Natural native chunk 325,General Usage
Common interaction example 326,Natural native chunk 326,General Usage
Common interaction example 327,Natural native chunk 327,General Usage
Common interaction example 328,Natural native chunk 328,General Usage
Common interaction example 329,Natural native chunk 329,General Usage
Common interaction example 330,Natural native chunk 330,General Usage
Common interaction example 331,Natural native chunk 331,General Usage
Common interaction example 332,Natural native chunk 332,General Usage
Common interaction example 333,Natural native chunk 333,General Usage
Common interaction example 334,Natural native chunk 334,General Usage
Common interaction example 335,Natural native chunk 335,General Usage
Common interaction example 336,Natural native chunk 336,General Usage
Common interaction example 337,Natural native chunk 337,General Usage
Common interaction example 338,Natural native chunk 338,General Usage
Common interaction example 339,Natural native chunk 339,General Usage
Common interaction example 340,Natural native chunk 340,General Usage
Common interaction example 341,Natural native chunk 341,General Usage
Common interaction example 342,Natural native chunk 342,General Usage
Common interaction example 343,Natural native chunk 343,General Usage
Common interaction example 344,Natural native chunk 344,General Usage
Common interaction example 345,Natural native chunk 345,General Usage
Common interaction example 346,Natural native chunk 346,General Usage
Common interaction example 347,Natural native chunk 347,General Usage
Common interaction example 348,Natural native chunk 348,General Usage
Common interaction example 349,Natural native chunk 349,General Usage
Common interaction example 350,Natural native chunk 350,General Usage
Common interaction example 351,Natural native chunk 351,General Usage
Common interaction example 352,Natural native chunk 352,General Usage
Common interaction example 353,Natural native chunk 353,General Usage
Common interaction example 354,Natural native chunk 354,General Usage
Common interaction example 355,Natural native chunk 355,General Usage
Common interaction example 356,Natural native chunk 356,General Usage
Common interaction example 357,Natural native chunk 357,General Usage
Common interaction example 358,Natural native chunk 358,General Usage
Common interaction example 359,Natural native chunk 359,General Usage
Common interaction example 360,Natural native chunk 360,General Usage
Common interaction example 361,Natural native chunk 361,General Usage
Common interaction example 362,Natural native chunk 362,General Usage
Common interaction example 363,Natural native chunk 363,General Usage
Common interaction example 364,Natural native chunk 364,General Usage
Common interaction example 365,Natural native chunk 365,General Usage
Common interaction example 366,Natural native chunk 366,General Usage
Common interaction example 367,Natural native chunk 367,General Usage
Common interaction example 368,Natural native chunk 368,General Usage
Common interaction example 369,Natural native chunk 369,General Usage
Common interaction example 370,Natural native chunk 370,General Usage
Common interaction example 371,Natural native chunk 371,General Usage
Common interaction example 372,Natural native chunk 372,General Usage
Common interaction example 373,Natural native chunk 373,General Usage
Common interaction example 374,Natural native chunk 374,General Usage
Common interaction example 375,Natural native chunk 375,General Usage
Common interaction example 376,Natural native chunk 376,General Usage
Common interaction example 377,Natural native chunk 377,General Usage
Common interaction example 378,Natural native chunk 378,General Usage
Common interaction example 379,Natural native chunk 379,General Usage
Common interaction example 380,Natural native chunk 380,General Usage
Common interaction example 381,Natural native chunk 381,General Usage
Common interaction example 382,Natural native chunk 382,General Usage
Common interaction example 383,Natural native chunk 383,General Usage
Common interaction example 384,Natural native chunk 384,General Usage
Common interaction example 385,Natural native chunk 385,General Usage
Common interaction example 386,Natural native chunk 386,General Usage
Common interaction example 387,Natural native chunk 387,General Usage
Common interaction example 388,Natural native chunk 388,General Usage
Common interaction example 389,Natural native chunk 389,General Usage
Common interaction example 390,Natural native chunk 390,General Usage
Common interaction example 391,Natural native chunk 391,General Usage
Common interaction example 392,Natural native chunk 392,General Usage
Common interaction example 393,Natural native chunk 393,General Usage
Common interaction example 394,Natural native chunk 394,General Usage
Common interaction example 395,Natural native chunk 395,General Usage
Common interaction example 396,Natural native chunk 396,General Usage
Common interaction example 397,Natural native chunk 397,General Usage
Common interaction example 398,Natural native chunk 398,General Usage
Common interaction example 399,Natural native chunk 399,General Usage
Common interaction example 400,Natural native chunk 400,General Usage
Common interaction example 401,Natural native chunk 401,General Usage
Common interaction example 402,Natural native chunk 402,General Usage
Common interaction example 403,Natural native chunk 403,General Usage
Common interaction example 404,Natural native chunk 404,General Usage
Common interaction example 405,Natural native chunk 405,General Usage
Common interaction example 406,Natural native chunk 406,General Usage
Common interaction example 407,Natural native chunk 407,General Usage
Common interaction example 408,Natural native chunk 408,General Usage
Common interaction example 409,Natural native chunk 409,General Usage
Common interaction example 410,Natural native chunk 410,General Usage
Common interaction example 411,Natural native chunk 411,General Usage
Common interaction example 412,Natural native chunk 412,General Usage
Common interaction example 413,Natural native chunk 413,General Usage
Common interaction example 414,Natural native chunk 414,General Usage
Common interaction example 415,Natural native chunk 415,General Usage
Common interaction example 416,Natural native chunk 416,General Usage
Common interaction example 417,Natural native chunk 417,General Usage
Common interaction example 418,Natural native chunk 418,General Usage
Common interaction example 419,Natural native chunk 419,General Usage
Common interaction example 420,Natural native chunk 420,General Usage
Common interaction example 421,Natural native chunk 421,General Usage
Common interaction example 422,Natural native chunk 422,General Usage
Common interaction example 423,Natural native chunk 423,General Usage
Common interaction example 424,Natural native chunk 424,General Usage
Common interaction example 425,Natural native chunk 425,General Usage
Common interaction example 426,Natural native chunk 426,General Usage
Common interaction example 427,Natural native chunk 427,General Usage
Common interaction example 428,Natural native chunk 428,General Usage
Common interaction example 429,Natural native chunk 429,General Usage
Common interaction example 430,Natural native chunk 430,General Usage
Common interaction example 431,Natural native chunk 431,General Usage
Common interaction example 432,Natural native chunk 432,General Usage
Common interaction example 433,Natural native chunk 433,General Usage
Common interaction example 434,Natural native chunk 434,General Usage
Common interaction example 435,Natural native chunk 435,General Usage
Common interaction example 436,Natural native chunk 436,General Usage
Common interaction example 437,Natural native chunk 437,General Usage
Common interaction example 438,Natural native chunk 438,General Usage
Common interaction example 439,Natural native chunk 439,General Usage
Common interaction example 440,Natural native chunk 440,General Usage
Common interaction example 441,Natural native chunk 441,General Usage
Common interaction example 442,Natural native chunk 442,General Usage
Common interaction example 443,Natural native chunk 443,General Usage
Common interaction example 444,Natural native chunk 444,General Usage
Common interaction example 445,Natural native chunk 445,General Usage
Common interaction example 446,Natural native chunk 446,General Usage
Common interaction example 447,Natural native chunk 447,General Usage
Common interaction example 448,Natural native chunk 448,General Usage
Common interaction example 449,Natural native chunk 449,General Usage
Common interaction example 450,Natural native chunk 450,General Usage
Common interaction example 451,Natural native chunk 451,General Usage
Common interaction example 452,Natural native chunk 452,General Usage
Common interaction example 453,Natural native chunk 453,General Usage
Common interaction example 454,Natural native chunk 454,General Usage
Common interaction example 455,Natural native chunk 455,General Usage
Common interaction example 456,Natural native chunk 456,General Usage
Common interaction example 457,Natural native chunk 457,General Usage
Common interaction example 458,Natural native chunk 458,General Usage
Common interaction example 459,Natural native chunk 459,General Usage
Common interaction example 460,Natural native chunk 460,General Usage
Common interaction example 461,Natural native chunk 461,General Usage
Common interaction example 462,Natural native chunk 462,General Usage
Common interaction example 463,Natural native chunk 463,General Usage
Common interaction example 464,Natural native chunk 464,General Usage
Common interaction example 465,Natural native chunk 465,General Usage
Common interaction example 466,Natural native chunk 466,General Usage
Common interaction example 467,Natural native chunk 467,General Usage
Common interaction example 468,Natural native chunk 468,General Usage
Common interaction example 469,Natural native chunk 469,General Usage
Common interaction example 470,Natural native chunk 470,General Usage
Common interaction example 471,Natural native chunk 471,General Usage
Common interaction example 472,Natural native chunk 472,General Usage
Common interaction example 473,Natural native chunk 473,General Usage
Common interaction example 474,Natural native chunk 474,General Usage
Common interaction example 475,Natural native chunk 475,General Usage
Common interaction example 476,Natural native chunk 476,General Usage
Common interaction example 477,Natural native chunk 477,General Usage
Common interaction example 478,Natural native chunk 478,General Usage
Common interaction example 479,Natural native chunk 479,General Usage
Common interaction example 480,Natural native chunk 480,General Usage
Common interaction example 481,Natural native chunk 481,General Usage
Common interaction example 482,Natural native chunk 482,General Usage
Common interaction example 483,Natural native chunk 483,General Usage
Common interaction example 484,Natural native chunk 484,General Usage
Common interaction example 485,Natural native chunk 485,General Usage
Common interaction example 486,Natural native chunk 486,General Usage
Common interaction example 487,Natural native chunk 487,General Usage
Common interaction example 488,Natural native chunk 488,General Usage
Common interaction example 489,Natural native chunk 489,General Usage
Common interaction example 490,Natural native chunk 490,General Usage
Common interaction example 491,Natural native chunk 491,General Usage
Common interaction example 492,Natural native chunk 492,General Usage
Common interaction example 493,Natural native chunk 493,General Usage
Common interaction example 494,Natural native chunk 494,General Usage
Common interaction example 495,Natural native chunk 495,General Usage
Common interaction example 496,Natural native chunk 496,General Usage
Common interaction example 497,Natural native chunk 497,General Usage
Common interaction example 498,Natural native chunk 498,General Usage
Common interaction example 499,Natural native chunk 499,General Usage
Common interaction example 500,Natural native chunk 500,General Usage
